gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TPSAB1	1275017	294	21	81774	24822	0	1	0	0	50	0	2586906	1.561306e-01	1
OR10G4	107524	830	-5	89166	28518	0	1	0	0	50	0	2318946	1.568270e-01	1
HMGCLL1	28261	691	-14	112728	32046	0	1	0	0	50	1	3253026	1.573594e-01	1
RASSF6	351984	573	28	117474	27678	0	1	0	0	50	0	2866668	1.593654e-01	1
PDZRN3	82249	888	-7	317814	90300	0	2	0	0	50	0	3353910	1.597300e-01	1
CRYBB3	247839	525	-31	65520	17136	0	1	0	0	50	1	2500512	1.602123e-01	1
FSD1L	NaN	NaN	NaN	176316	42672	0	1	0	0	50	1	4719960	1.612125e-01	1
CACNG8	813774	360	-33	120666	42252	0	1	0	0	50	0	2645874	1.624431e-01	1
FAM192A	731638	149	48	79212	20202	0	1	0	0	50	0	2036832	1.629868e-01	1
KCNH1	153525	862	-7	295932	83328	0	1	0	0	50	0	2626302	1.631151e-01	1
PALMD	272208	540	-15	169092	43092	0	1	0	0	50	1	2961882	1.634255e-01	1
LRRC23	2704950	211	47	122976	33642	0	1	0	0	50	0	3138408	1.653557e-01	1
RNLS	193044	396	33	111762	30240	0	1	0	0	50	0	2541042	1.680330e-01	1
MSRB2	126042	469	5	54810	16380	0	1	0	0	50	1	1834770	1.688739e-01	1
ZNF763	719617	678	-1	123186	28770	0	1	0	0	50	0	2655870	1.690032e-01	1
SLFN12L	NaN	NaN	NaN	187572	47796	0	1	0	0	50	1	4725084	1.711236e-01	1
WDSUB1	386986	265	29	146538	38808	0	1	0	0	50	0	3113628	1.711594e-01	1
IL7	52129	920	6	56658	13146	0	1	0	0	29	1	1375920	1.714642e-01	1
COL21A1	263671	483	-11	292278	84462	0	1	0	0	50	0	2238810	1.736309e-01	1
SUN3	147364	445	21	112938	27930	0	1	0	0	50	0	2436924	1.753831e-01	1
ZNF514	223452	616	24	122724	30366	0	1	0	0	50	0	2538354	1.764383e-01	1
ZNF860	NaN	NaN	NaN	192990	46284	0	1	0	0	50	1	4723572	1.780428e-01	1
PLSCR4	119025	361	-10	102270	26502	0	1	0	0	50	2	2883762	1.822639e-01	1
CA10	36963	832	-68	102522	25872	0	1	0	0	50	1	2680608	1.844234e-01	1
RABGGTB	152545	578	-9	103320	26460	0	1	0	0	50	1	2440284	1.846571e-01	1
SNAPC1	246220	410	26	116802	27216	0	1	0	0	50	0	2372286	1.848020e-01	1
U2AF1	687433	279	59	82278	21546	0	1	0	0	50	0	2241960	1.852312e-01	1
ZBTB41	222912	614	-19	280686	68082	0	2	0	0	50	2	2723910	1.852831e-01	1
SH3PXD2B	495571	267	42	272748	78036	0	2	0	0	50	0	2257542	1.853712e-01	1
FAM198A	NaN	NaN	NaN	166614	53130	0	1	0	0	50	1	4730418	1.855891e-01	1
GCNT1	107632	603	-2	128352	33810	0	1	0	0	50	0	2652216	1.866536e-01	1
FBXO25	173778	838	-19	119322	24822	0	1	0	0	50	0	2477496	1.878654e-01	1
LDOC1L	216551	425	14	66948	23772	0	1	0	0	50	2	2557296	1.883603e-01	1
C19orf47	1006719	289	35	105252	32844	0	1	0	0	50	0	2588334	1.900515e-01	1
PDXK	919787	170	68	97608	25746	0	1	0	0	50	0	2297022	1.909555e-01	1
ZBTB6	407115	430	26	128184	32970	0	1	0	0	50	1	2824248	1.915312e-01	1
C17orf75	679038	286	30	124110	30744	0	1	0	0	50	0	2519286	1.921724e-01	1
UGT2B11	18988	929	1	161280	41832	0	1	0	0	50	0	2952222	1.930289e-01	1
WIF1	344729	671	-9	117726	30450	0	1	0	0	50	0	2394672	1.935472e-01	1
IFT52	370278	303	11	137382	34734	0	1	0	0	50	0	2627604	1.964026e-01	1
OR4C15	1141	1100	-37	108990	30996	0	1	0	0	50	1	2324448	1.965633e-01	1
MAEL	264649	681	-11	135702	34524	0	1	0	0	50	0	2700852	1.973451e-01	1
HSF2BP	878395	518	73	102606	27552	0	1	0	0	50	1	2590560	1.981479e-01	1
KIAA1715	237188	967	11	132174	36036	0	1	0	0	50	0	2350530	1.996129e-01	1
ZNF91	410897	1524	-57	362754	89334	0	1	0	0	50	0	3245046	2.010869e-01	1
CHKB	1073094	203	43	121254	33474	0	1	0	0	50	0	2731386	2.027752e-01	1
CYYR1	345442	626	-75	46704	13398	0	1	0	0	21	0	951594	2.052172e-01	1
LPAR1	247269	624	21	107898	31206	0	1	0	0	50	0	2146872	2.057840e-01	1
GTF2E1	307733	475	11	132594	35742	0	1	0	0	50	0	2473296	2.081686e-01	1
OPRK1	147912	861	-14	112602	32928	0	1	0	0	50	1	2922780	2.093890e-01	1
ARRDC3	51436	334	5	126336	34062	0	1	0	0	50	0	2295972	2.094380e-01	1
MORC1	88595	1029	-12	311346	74844	0	1	0	0	50	3	3023622	2.098518e-01	1
FADS2	1618824	212	64	138936	34818	0	1	0	0	50	0	2794176	2.100959e-01	1
UNC5B	608276	559	34	281190	84462	0	2	0	0	50	2	2970072	2.104751e-01	1
INTU	211890	437	-11	286146	77994	0	1	0	0	50	1	2215836	2.105923e-01	1
MCAT	624112	241	48	114828	34734	0	1	0	0	50	0	2658936	2.106425e-01	1
IKZF5	274189	673	11	127260	33264	0	1	0	0	50	0	2222808	2.111700e-01	1
SLC25A22	1788356	193	48	95760	30744	0	1	0	0	50	0	2260104	2.121973e-01	1
UBAC2	333101	390	55	125160	29190	0	1	0	0	50	0	2403114	2.130263e-01	1
FAM84A	58286	1274	-10	85134	26124	0	1	0	0	50	1	2589510	2.137049e-01	1
USP54	1072614	150	40	508326	139440	0	1	0	0	50	0	3431904	2.137193e-01	1
ZNF286A	730837	431	-16	160944	38388	0	1	0	0	50	0	2628570	2.152495e-01	1
EVX1	473864	394	13	115374	39858	0	1	0	0	50	0	3023076	2.155639e-01	1
PSMC2	355264	620	17	134778	35070	0	1	0	0	50	0	2453010	2.158065e-01	1
SYT1	186847	899	-21	130368	33558	0	1	0	0	50	1	2731386	2.159179e-01	1
DUSP2	850399	251	48	89880	30954	0	1	0	0	50	1	2876958	2.161108e-01	1
ZNF672	411701	567	-4	128604	42630	0	1	0	0	50	0	2070180	2.164525e-01	1
VAX2	504483	623	25	81984	29274	0	1	0	0	50	1	2458554	2.174187e-01	1
CDH4	437973	867	-61	273882	80556	0	1	0	0	50	0	2108400	2.175228e-01	1
GALK1	1885370	198	27	114618	37716	0	1	0	0	50	0	2554440	2.194954e-01	1
MARCH11	160001	888	-24	117894	35952	0	1	0	0	50	0	2612652	2.198945e-01	1
SLC6A14	82720	NaN	4	198240	51366	0	1	0	0	50	0	3152184	2.199860e-01	1
ACPT	652250	593	27	123648	43050	0	1	0	0	50	0	2650620	2.230407e-01	1
SMC6	135213	1245	1	344358	81522	0	2	0	0	50	0	2138766	2.240689e-01	1
NLRP3	293118	825	-17	312774	83748	0	1	0	0	50	0	2135700	2.245465e-01	1
ASB4	176832	333	14	135492	36498	0	1	0	0	50	0	2288286	2.253737e-01	1
DYRK4	276521	874	24	161154	41328	0	1	0	0	50	0	2832522	2.259389e-01	1
IL1RL2	238921	541	8	176946	46326	0	1	0	0	50	0	2951004	2.266558e-01	1
RGS20	266629	345	18	122388	36372	0	1	0	0	50	0	2464812	2.278819e-01	1
GPR143	125267	NaN	2	120120	37002	0	1	0	0	50	0	2280264	2.279414e-01	1
RHCE	667862	185	32	128772	34020	0	1	0	0	50	0	2271150	2.293969e-01	1
DBNL	1096873	226	52	136626	35994	0	1	0	0	50	0	2688966	2.299669e-01	1
PLS1	435882	406	28	195720	49980	0	1	0	0	50	0	3012870	2.309453e-01	1
TRMT11	142337	297	11	145194	36246	0	1	0	0	50	0	2287530	2.310816e-01	1
SETD8	1167786	177	45	107730	29484	0	1	0	0	50	1	2502948	2.320018e-01	1
WFS1	418118	599	48	261366	79338	0	2	0	0	50	0	1965264	2.320939e-01	1
CDK8	96507	578	22	145908	36162	0	1	0	0	50	0	2364978	2.320983e-01	1
KCNK4	1613996	257	65	112812	39144	0	1	0	0	50	0	2515800	2.326788e-01	1
TFAP2D	17771	1090	-15	134904	39858	0	1	0	0	50	1	2844996	2.332836e-01	1
CAMK1G	204559	405	-3	147210	39144	0	1	0	0	50	0	2516598	2.333239e-01	1
NEBL	71095	484	-19	362712	81312	0	1	0	0	50	0	2225916	2.338241e-01	1
RBM39	1401606	125	51	165816	42966	0	1	0	0	50	0	2827188	2.338442e-01	1
RNF14	696239	321	48	146412	36666	0	1	0	0	50	0	2266824	2.344391e-01	1
CDS1	94589	895	5	143178	37506	0	1	0	0	50	0	2216046	2.344847e-01	1
HTR4	89834	578	10	145740	41370	0	1	0	0	50	1	2842308	2.361535e-01	1
PAPD4	260678	684	28	151914	38472	0	1	0	0	50	0	2394840	2.367540e-01	1
SCN2A	119701	879	-9	621222	162246	0	2	0	0	50	0	3701334	2.387690e-01	1
WASF3	149391	643	10	150234	43932	0	1	0	0	50	0	2588796	2.404812e-01	1
TACR2	704483	285	50	117600	35238	0	1	0	0	50	0	2042838	2.419717e-01	1
LPAR3	340292	614	-7	104706	30114	0	1	0	0	50	1	2071188	2.425222e-01	1
ZNF717	NaN	NaN	NaN	280056	67704	0	1	0	0	50	1	4744992	2.433215e-01	1
PPP2R2B	309460	509	1	152544	36960	0	1	0	0	50	1	2977926	2.454520e-01	1
MSTO1	2230401	185	32	170646	51996	0	1	0	0	50	0	2794092	2.459751e-01	1
ACTG1	3582152	268	26	111972	32676	0	1	0	0	50	0	2119740	2.464692e-01	1
ZNF180	743733	511	-55	212436	51534	0	1	0	0	50	1	3570462	2.467881e-01	1
MLLT3	85091	575	14	178206	41916	0	1	0	0	50	0	2656080	2.487521e-01	1
DDC	180088	561	11	148050	40824	0	1	0	0	50	0	2420964	2.488503e-01	1
ELAVL4	93599	824	-20	125916	33348	0	1	0	0	50	1	2292276	2.506800e-01	1
ARPP21	3796	1075	-21	250908	66864	0	1	0	0	50	4	2436924	2.507779e-01	1
SAMHD1	817783	225	47	195342	49728	0	1	0	0	50	0	3023118	2.511962e-01	1
LAMB3	211663	300	4	352884	101598	0	2	0	0	50	0	2321424	2.520178e-01	1
CHAT	NaN	NaN	NaN	229278	66948	0	1	0	0	50	1	4744236	2.521794e-01	1
HTR2C	23811	NaN	-5	136080	39438	0	1	0	0	50	0	2114070	2.524932e-01	1
STXBP4	132396	845	-50	171864	45612	0	1	0	0	50	0	2341038	2.564877e-01	1
LHX9	98527	448	-18	121548	34944	0	1	0	0	50	0	2138094	2.578433e-01	1
QRFPR	268761	809	-2	130074	35742	0	1	0	0	50	1	2316762	2.608980e-01	1
UGT3A1	155890	614	-4	164808	46368	0	1	0	0	50	1	2687790	2.617012e-01	1
TYRP1	77286	530	-31	161994	44898	0	1	0	0	50	0	2240490	2.633005e-01	1
NFS1	1423559	169	53	139020	40656	0	1	0	0	50	0	2199582	2.633761e-01	1
PARD6G	161542	NaN	38	107016	36498	0	1	0	0	50	0	2214954	2.656171e-01	1
KHDRBS3	16039	1124	-24	105840	29358	0	1	0	0	50	4	2695098	2.658783e-01	1
RGS11	1340678	205	43	145278	40446	0	1	0	0	50	0	2578842	2.662337e-01	1
NCOA4	406207	579	41	202020	50610	0	1	0	0	50	0	2709336	2.667839e-01	1
KBTBD12	727461	390	49	189042	49098	0	1	0	0	50	0	2451456	2.668331e-01	1
IL11RA	731413	298	51	126168	40026	0	1	0	0	50	0	1918476	2.698903e-01	1
CAMK2G	998685	191	42	185094	48636	0	1	0	0	50	0	2892960	2.701609e-01	1
CYP46A1	375738	250	21	151872	44562	0	1	0	0	50	0	2535918	2.703217e-01	1
TFCP2	530649	155	40	158046	39144	0	1	0	0	50	0	2100546	2.716107e-01	1
KRT36	1445853	325	-22	138138	41790	0	1	0	0	50	0	2253216	2.720947e-01	1
IL7R	139461	511	5	140784	36876	0	1	0	0	50	1	2140698	2.757006e-01	1
DCAF4	354097	341	41	156618	37800	0	1	0	0	50	0	2495262	2.757088e-01	1
VEGFC	145765	585	-14	129024	33138	0	1	0	0	50	2	2564478	2.757140e-01	1
ARHGEF12	264872	312	25	479514	124908	0	1	0	0	50	0	2561118	2.761606e-01	1
SLC15A3	802735	546	56	168000	55776	0	1	0	0	50	0	2977590	2.767848e-01	1
TRIM58	87551	993	-35	143388	43470	0	1	0	0	50	1	2859696	2.787438e-01	1
LARP6	250598	339	10	153048	44772	0	1	0	0	50	0	2334318	2.805003e-01	1
BTBD2	1899295	239	37	154098	48762	0	1	0	0	50	0	2844828	2.805790e-01	1
ZNF774	1110178	139	33	147882	36582	0	1	0	0	50	1	2364432	2.810884e-01	1
ABCG2	432576	209	-7	200802	54726	0	1	0	0	50	0	2528316	2.840264e-01	1
TMX3	70753	920	-24	144984	34566	0	1	0	0	50	2	2437680	2.853213e-01	1
SPOCK3	7931	1043	-11	138852	31626	0	1	0	0	50	3	2775276	2.855480e-01	1
CADM2	8467	1155	-19	139230	38808	0	1	0	0	50	2	2442930	2.859576e-01	1
FAM135A	114193	606	11	470862	122094	0	1	0	0	50	0	2289504	2.874308e-01	1
FAT1	351973	513	-13	1359708	388038	0	4	1	0	50	1	2829960	2.882913e-01	1
OVGP1	397926	461	18	202356	59598	0	1	0	0	50	0	2506854	2.884370e-01	1
GABRA1	12179	927	-16	139104	38178	0	1	0	0	50	2	2392866	2.894843e-01	1
SLC33A1	284462	473	4	162372	48048	0	1	0	0	50	1	2405634	2.912800e-01	1
SLC2A14	149291	305	14	155358	46620	0	1	0	0	50	0	2007390	2.919488e-01	1
ESRRG	15599	1132	-28	139440	37086	0	1	0	0	50	4	3269154	2.921944e-01	1
IRX3	99177	509	-42	142086	49182	0	1	0	0	50	0	2549148	2.923682e-01	1
CADPS	76552	1010	3	424116	111510	0	2	0	0	50	0	2314368	2.926759e-01	1
ZBTB22	1456953	262	30	178878	61656	0	1	0	0	50	0	2471070	2.944887e-01	1
L3MBTL4	236747	877	7	196392	48552	0	1	0	0	50	0	2397570	2.944973e-01	1
POT1	34691	524	-16	196140	51450	0	1	0	0	50	1	2670738	2.959899e-01	1
TNFRSF21	206419	389	1	192948	57540	0	1	0	0	50	1	3145170	2.966957e-01	1
USP45	256853	638	15	253260	63378	0	1	0	0	50	1	3422286	2.968361e-01	1
CCT7	536944	452	20	163926	47250	0	1	0	0	50	0	2030406	2.992661e-01	1
KCNA5	160467	896	22	174006	58086	0	1	0	0	50	0	2751210	3.023234e-01	1
GGT1	451217	194	36	169512	52374	0	1	0	0	50	0	2479050	3.023985e-01	1
PAX3	191783	682	11	165900	45402	0	1	0	0	50	0	2335200	3.027503e-01	1
DAB2	167695	374	-7	231882	66486	0	1	0	0	50	0	2601186	3.032732e-01	1
BRAF	305191	616	25	233016	65730	0	1	0	0	50	0	2797956	3.046631e-01	1
PREB	1214097	238	50	123312	38724	0	1	0	0	50	3	2683170	3.049970e-01	1
CYP2A7	1187304	275	31	151242	41160	0	1	0	0	50	0	2060310	3.090016e-01	1
REXO4	1827885	416	28	128394	35028	0	1	0	0	50	1	2022762	3.105740e-01	1
RNF128	149556	NaN	17	167916	48678	0	1	0	0	50	1	2420796	3.124593e-01	1
KLHL12	422793	318	28	173166	47460	0	1	0	0	50	1	2427642	3.133738e-01	1
PNPLA3	155890	393	24	143640	42588	0	1	1	0	50	1	2251074	3.140119e-01	1
ADAMTS18	61971	1102	-26	372330	100674	0	1	0	0	50	5	3260460	3.163060e-01	1
FAM63B	524797	311	28	187068	52080	0	1	0	0	50	0	2271528	3.166272e-01	1
AMH	1603571	240	27	153216	60858	0	1	0	0	50	0	2587536	3.186054e-01	1
KCNMA1	116099	807	3	396102	106512	0	1	0	0	50	1	2333058	3.203698e-01	1
ZNF311	143617	569	25	204246	50400	0	1	0	0	50	0	2236122	3.210169e-01	1
VANGL1	71378	604	7	155568	45906	0	1	1	0	50	2	2677164	3.235426e-01	1
TNS1	500812	399	23	513198	157122	0	2	0	0	50	0	2598834	3.239060e-01	1
FAM124A	175682	518	37	169932	52458	0	1	0	0	50	0	2198280	3.249322e-01	1
PAK6	829569	167	31	198576	63252	0	1	0	0	50	1	3065874	3.256718e-01	1
BMPER	20466	507	-17	212016	54348	0	1	0	0	50	0	2463678	3.259915e-01	1
GATA4	474662	360	27	127428	42546	0	1	0	0	50	1	2339694	3.263088e-01	1
FBXW5	1979517	188	34	167622	50736	0	1	0	0	50	0	2482998	3.281643e-01	1
FAM111B	437114	741	-6	224028	54810	0	1	0	0	50	0	2225286	3.291166e-01	1
FCHSD2	475608	318	46	230832	58842	0	1	0	0	50	0	2506518	3.318512e-01	1
PCDHB8	915569	724	-11	228858	74046	0	1	0	0	50	0	2835882	3.319070e-01	1
KCNN2	7106	987	0	172620	50148	0	1	0	0	50	0	2052960	3.331495e-01	1
MMP16	27285	939	-34	201180	52584	0	1	0	0	50	1	2469978	3.349681e-01	1
SGK1	97901	129	15	199626	51996	0	1	0	0	50	0	2205252	3.354940e-01	1
NXF1	2405109	248	44	197778	53340	0	1	0	0	50	0	2331588	3.355649e-01	1
ANO5	51558	935	-7	285810	70266	0	1	0	0	50	0	2866374	3.371917e-01	1
MAP7	302036	376	16	226380	65688	0	1	0	0	50	0	2773554	3.375888e-01	1
ABLIM3	339889	423	17	215460	54684	0	1	0	0	50	0	2561454	3.379600e-01	1
SPHK2	1597109	242	31	182196	67914	0	1	0	0	50	0	2451750	3.390174e-01	1
AMOTL2	303429	189	21	227808	71946	0	1	0	0	50	0	2898210	3.394885e-01	1
SNCAIP	142971	684	-6	275142	77658	0	1	0	0	50	0	2868012	3.406760e-01	1
LRRTM4	7531	1175	-21	176148	48762	0	1	0	0	50	2	2519160	3.409610e-01	1
NRG1	28018	952	-32	360444	103236	0	2	0	0	50	2	2408910	3.465423e-01	1
DGKG	664709	533	32	248598	62370	0	1	0	0	50	0	2622690	3.468749e-01	1
CPNE2	745404	154	48	169512	45570	0	1	0	0	50	0	1943676	3.502601e-01	1
HECTD2	288529	384	4	244482	62328	0	1	0	0	50	0	2339106	3.521543e-01	1
MED12	759088	NaN	27	660366	185094	0	2	0	0	50	0	3056970	3.521680e-01	1
PSME4	238848	489	9	570150	150318	0	1	0	0	50	0	2385306	3.540081e-01	1
POMT1	651666	272	34	228228	64092	0	1	0	0	50	0	2542092	3.544830e-01	1
KIF6	77217	940	26	255444	63966	0	1	0	0	50	0	2494716	3.546389e-01	1
ALPK2	204534	290	67	646716	179970	0	2	0	0	50	0	2640918	3.558244e-01	1
TTLL11	285948	541	24	242298	74088	0	1	0	0	50	0	2863056	3.563907e-01	1
USP2	1054477	263	40	194838	59052	0	1	0	0	50	1	2769354	3.583019e-01	1
MED25	1673246	205	37	220122	71694	0	1	0	0	50	0	2485140	3.590774e-01	1
MTTP	318764	787	11	272496	74760	0	1	0	0	50	0	2557758	3.620710e-01	1
KLHL4	34243	NaN	-31	224448	60942	0	1	0	0	50	2	2847936	3.624775e-01	1
DDX3X	627364	NaN	54	206136	52542	0	1	0	0	50	1	2486022	3.632695e-01	1
TMCC2	690215	169	34	205716	64680	0	1	0	0	50	0	2531172	3.634358e-01	1
GPC5	12353	1007	-9	172074	48048	0	1	0	0	50	3	2713872	3.634879e-01	1
FBXW7	117295	501	51	256368	68712	0	1	0	0	50	1	2832438	3.637618e-01	1
BEND2	66906	NaN	11	246708	65520	0	1	0	0	50	1	2701650	3.639110e-01	1
POTED	42480	1066	-58	183120	43554	0	1	0	0	50	0	1680042	3.642214e-01	1
ACSBG1	421357	314	52	219576	61278	0	1	0	0	50	0	2377326	3.643637e-01	1
